pcds,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD3 9HD,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HE,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HF,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HG,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HJ,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HL,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9HN,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HP,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HQ,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9HR,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HT,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9HY,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JA,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD3 9JG,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JH,0.622,23.132,1.58,1.895,341,92.853,0.365,23.943,-0.514,1.61,0.397,0.469,75.905,0.435,-0.111,0.983,967,233,1541,2.49,963.25
BD3 9JJ,0.57,22.446,1.478,1.168,620,69.145,0.187,62.328,-0.511,1.077,0.26,0.622,56.981,0.31,1.393,1.28,1104,197,1921,2.348,1065
BD3 9JL,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9JN,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
