Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD1 1TG,postcode not found,,,,,
BD1 1TH,BD1 1TH,SE 16155 33110,416155,433110,53.794053,-1.7562422
BD1 1TJ,postcode not found,,,,,
BD1 1TN,postcode not found,,,,,
BD1 1TQ,BD1 1TQ,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1TR,postcode not found,,,,,
BD1 1TS,BD1 1TS,SE 16335 33161,416335,433161,53.794506,-1.7535071
BD1 1TT,postcode not found,,,,,
BD1 1TU,BD1 1TU,SE 16551 32836,416551,432836,53.791578,-1.7502454
BD1 1TW,BD1 1TW,SE 16414 33061,416414,433061,53.793605,-1.7523131
BD1 1TZ,postcode not found,,,,,
BD1 1UA,BD1 1UA,SE 16282 33153,416282,433153,53.794436,-1.754312
BD1 1UB,postcode not found,,,,,
BD1 1UD,postcode not found,,,,,
BD1 1UE,postcode not found,,,,,
BD1 1UF,postcode not found,,,,,
BD1 1UG,BD1 1UG,SE 16330 33174,416330,433174,53.794623,-1.7535823
BD1 1UH,BD1 1UH,SE 16358 32928,416358,432928,53.792411,-1.7531702
BD1 1UJ,postcode not found,,,,,
BD1 1UL,postcode not found,,,,,
BD1 1UN,BD1 1UN,SE 16457 33102,416457,433102,53.793972,-1.7516582
BD1 1UP,BD1 1UP,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1UQ,BD1 1UQ,SE 16406 33168,416406,433168,53.794567,-1.7524289
BD1 1UR,postcode not found,,,,,
BD1 1US,BD1 1US,SE 16566 33112,416566,433112,53.794059,-1.750003
BD1 1UY,postcode not found,,,,,
BD1 1UZ,postcode not found,,,,,
BD1 1WR,postcode not found,,,,,
BD1 1WW,BD1 1WW,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1WX,BD1 1WX,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1WY,postcode not found,,,,,
BD1 1WZ,postcode not found,,,,,
BD1 1XB,postcode not found,,,,,
BD1 1XG,postcode not found,,,,,
BD1 1XN,postcode not found,,,,,
BD1 1XP,postcode not found,,,,,
BD1 1XQ,BD1 1XQ,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1XR,postcode not found,,,,,
BD1 1XS,postcode not found,,,,,
BD1 1XT,postcode not found,,,,,
BD1 1XU,postcode not found,,,,,
BD1 1XW,BD1 1XW,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1XY,postcode not found,,,,,
BD1 1XZ,BD1 1XZ,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1YA,postcode not found,,,,,
BD1 1YE,postcode not found,,,,,
BD1 1YG,postcode not found,,,,,
BD1 1YH,postcode not found,,,,,
BD1 1YJ,postcode not found,,,,,
BD1 1YL,postcode not found,,,,,
BD1 1YN,postcode not found,,,,,
BD1 1YP,BD1 1YP,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1YR,postcode not found,,,,,
BD1 1YS,postcode not found,,,,,
BD1 1YT,postcode not found,,,,,
BD1 1YU,postcode not found,,,,,
BD1 1YW,postcode not found,,,,,
BD1 1YX,postcode not found,,,,,
BD1 1YY,BD1 1YY,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1YZ,postcode not found,,,,,
BD1 1ZB,BD1 1ZB,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1ZX,postcode not found,,,,,
BD1 2AA,BD1 2AA,SE 16247 33075,416247,433075,53.793736,-1.7548474
BD1 2AB,BD1 2AB,SE 16208 33085,416208,433085,53.793827,-1.7554389
BD1 2AD,BD1 2AD,SE 16132 33121,416132,433121,53.794153,-1.7565908
BD1 2AE,BD1 2AE,SE 15884 33300,415884,433300,53.795769,-1.7603463
BD1 2AF,BD1 2AF,SE 16013 33030,416013,433030,53.793339,-1.7584019
BD1 2AG,BD1 2AG,SE 16019 33028,416019,433028,53.793321,-1.7583109
BD1 2AH,BD1 2AH,SE 16129 33038,416129,433038,53.793407,-1.7566406
BD1 2AJ,BD1 2AJ,SE 16108 33176,416108,433176,53.794648,-1.7569522
BD1 2AL,BD1 2AL,SE 16073 33151,416073,433151,53.794424,-1.7574848
BD1 2AN,BD1 2AN,SE 15841 33157,415841,433157,53.794485,-1.7610064
BD1 2AP,postcode not found,,,,,
BD1 2AQ,BD1 2AQ,SE 16117 33106,416117,433106,53.794019,-1.7568192
BD1 2AR,postcode not found,,,,,
BD1 2AS,postcode not found,,,,,
BD1 2AT,BD1 2AT,SE 15860 33187,415860,433187,53.794754,-1.7607164
BD1 2AU,postcode not found,,,,,
BD1 2AW,BD1 2AW,SE 16048 33166,416048,433166,53.79456,-1.7578636
BD1 2AX,BD1 2AX,SE 16199 33056,416199,433056,53.793567,-1.7555771
BD1 2AY,BD1 2AY,SE 16239 33044,416239,433044,53.793458,-1.7549705
BD1 2AZ,BD1 2AZ,SE 16294 33031,416294,433031,53.793339,-1.7541363
BD1 2BA,postcode not found,,,,,
BD1 2BB,postcode not found,,,,,
BD1 2BD,postcode not found,,,,,
BD1 2BE,BD1 2BE,SE 15565 33384,415565,433384,53.796534,-1.7651848
BD1 2BN,postcode not found,,,,,
BD1 2BS,postcode not found,,,,,
BD1 2BX,BD1 2BX,SE 16044 32966,416044,432966,53.792763,-1.7579346
BD1 2BY,postcode not found,,,,,
BD1 2DA,postcode not found,,,,,
BD1 2DD,postcode not found,,,,,
BD1 2DF,postcode not found,,,,,
BD1 2DG,BD1 2DG,SE 15959 33028,415959,433028,53.793322,-1.7592217
BD1 2DH,BD1 2DH,SE 16055 32995,416055,432995,53.793023,-1.7577662
BD1 2DJ,postcode not found,,,,,
BD1 2DL,postcode not found,,,,,
BD1 2DN,postcode not found,,,,,
BD1 2DR,postcode not found,,,,,
BD1 2DT,postcode not found,,,,,
BD1 2DU,postcode not found,,,,,
BD1 2DW,BD1 2DW,SE 15887 33053,415887,433053,53.793549,-1.7603134
BD1 2DX,BD1 2DX,SE 15858 33080,415858,433080,53.793793,-1.7607522
BD1 2DZ,BD1 2DZ,SE 16237 33074,416237,433074,53.793727,-1.7549993
BD1 2EB,postcode not found,,,,,
BD1 2ED,postcode not found,,,,,
